COMPANY_NAME,EMAIL,MOBILE NUMBER
Major Hardware Co,info@majorhw.com,055 5220598
Dhawhi Al Madina,dmadinahhardware@gmail.com,050 1688502
Standard Hardware Trading,standardhardware@yahoo.com,050 4973221
Zubaida Hardware,alzubaida@hotmail.com,055 3065260
Anwar Al Najaf Trading,anwaralnajafllc@gmail.com,055 9404460
Yazzi Hardware Trading,yazihardware@gmail.com,06 5423953
Nairobi Hardware,nehtbmw@gmail.com,050 4275172
K Hashim Llc,sales@khashim.com,050 9683862
Stanley Hand Tools,rajubhaicyclewala@yahoo.com,052 2032240
Husaini Ajmer Bmt,ajmhus5253@gmail.com,056 8409098
Midland Hardware,midlandllc@outlook.com,050 6288752
Hardware World Trading,sales@hardwareworldtrdg.com,04 2523961
Bait Al Noor Bmt,baitalnoor4@gmail.com,055 6497713
Mosana Bmt ,mosanabm@gmail.com,050 4959465
Perfect Oasis Metals,info@perfectmiddleeast.com,055 8814352
Hamza Fasteners,sales@hamzafasteners.com,050 6240048
Raj Building Material ,sales@rajbuildingmaterial.com,
City Gates Bmt,zohair@citygatesbmt.com,
City Gates Bmt,sales@citygatesbmt.com,
Al Najah Trading,alnajahtrading@gmail.com,
Alamdar Hardware,ajmsales@alamdarhardware.com,
Al Ramal,info@alrammal.com,
Al Noor Oasis,sales@alnooroasis.com,
Ayaan Building ,ayaanbuilding904@gmail.com,
Rasani Group,info@rasanigroup.com,
Al Asaas ,alasasdubai@gmail.com,
Al Majd Trading,sales@almajdtrading.com,
Al Baraka Buiding Material ,albarakabldgmat2020@gmail.com,
Rising Star,risingstarajman@gmail.com,
Al Yazra Elect Sanitary,alyazraelect.sanitary@gmail.com,
Build Line,mohd.riyas@buildlineuae.com,
Al Ahsan,alahsanbmt@gmail.com,
Zahid Islan Bangla,zahidislanbangla@gmail.com,
Smbt Int Llc,sales@smbintllc.com,
Mufaddal Raj,info@mufaddalraj.com,
Nargis,nargis005@gmail.com,
Pusan Trading,sales@pusantrading.com,
Colour Point ,colourpointbk@gmail.com,
Najmi Sales,najmisales@gmail.com,
Al Taher Chemicals ,hatim@altaherchemicals.com,
Gt,salesgt@outlook.com,
Ghayasi,info@ghayasi.com,
Al Taher,sales.altaher1977@gmail.com,
Al Diyafa,aldiyafa2016@gmail.com,
Aris Majestic,arismajestic@gmail.com,
Al Saif Hardware,alsaifhardware@yahoo.com,
Al Najah Trading,alnajahtrading@gmail.com,
Jumairah Gt,jumairahgt9069@yahoo.com,
Admiral Hardware Tools,admiralhardwaretools@gmail.com,
Dubai Polymer,sales@dubaipolymer.ae,
Taqdeer,taqdeer.bldg1998@gmail.com,
Naser Bmt,info@naserbmt.com,
Al Rammal,info@alrammal.com,
Al Taqwa Building,altaqwabuilding121@gmail.com,
Shibam Bmt Llc,shibambmtllc@gmail.com,
Al Tawakkal ,altawakkaltrd@gmail.com,
Al Hatimi Tools ,alhatimitools@gmail.com,
Itc Llc,ltcllc@eim.ae,
Al Sukoon,alsukoon1@gmail.com,
Screw Master,screwmasterdxb@gmail.com,
Al Zoura,alzourabtht@gmail.com,
Hardware World Trading,sales@hardwareworldtrdg.com,
A Tools,atools@eim.ae,
Taj Bms,taj.bms2@gmail.com,
Kothari Hardware,kotharihardware@eim.ae,
Build Mart,buildmart18@gmail.com,
Burhani Bht,burhanibht@gmail.com,
Buildway Gt,buildwaygt@gmail.com,
Gist Tools,qisttools@gmail.com,
Al Ajer,alajer@hotmil.com,
Al Noor,alnoor-1996@hotmail.com,
Al Jasoor,aljasoor@eim.ae,
Al Jessour,glades@aljessour.com,
Yamin Trading,yamin@yamintrading.com,
Samaal Khan,info@samaalkhan.ae,
Murtaza Hardware,murtadahardwaretr@gmail.com,
Fhco Llc,fhcollc@yahoo.com,
Fhco Llc,myfhcollc@gmail.com,
Fhco Llc,fhcoali@yahoo.com,
Mqq Bm,purchaser@mqqbm.com,
Wahat Hatta,wahathatta@yahoo.com,
Hatta Group,hattagroup@yahoo.com,
Hatta,hatta13@eim.ae,
Safina Al Noor,safinatalnoor@yahoo.com,
Right Source,sales@rightsourceme.com,
Fareej Al Madinah,fareejalmadinah@gmail.com,
Lulua Al Madeena,luluatalmadeena21@gmail.com,
Mawsilhe,mawsilhe@gmail.com,
Mawsilhe,mawsilhe@yahoo.com,
Rag Tr,info@ragtr.com,
Wast Al Sahra,wasatalsahratr@gmail.com,
Daral Faris,daralfaris@yahoo.com,
Sahil Fadhi,sahilfadhi@gmail.com,
Al Mufrid,almufrid13@gmail.com,
Najmat Al Rolla,najmatalrolla@gmail.com,
Baha Al Kawakeb,bahaalkawakeb@gmail.com,
Mustafa Azaan,mustafaazan@yahoo.com,
Al Saba Safety,alsabasafety@gmail.com,
Arab Al Madina,arabalmadina333@gmail.com,
Sadia Trading,tahir@saadiatrading.com,
Taleb Group,sales@talebgroup.biz,
Al Istiqbal,alistiqbal@gmail.com,
Al Qaseef Trading,sales@alqaseeftrading.com,
Mid Land Llc,midlandllc@outlook.com,
Mid Land Llc,sales@midlandllc.net,
Mid Land Llc,amidland@eim.ae,
Burhan Store,burhanstore@gmail.com,
Hakimi Traders ,hakimitradersdxb@gmail.com,
Al Sanaa,alsanaauae69@gmail.com,
Al Bashaier,abtshop@albashaieruae.com,
Al Bashaier,bashaier@emirates.net.ae,
Al Jaras,aljaras@hotmail.com,
Sm Gulf,enquiry@smgulf.com,
Mustafa Ali Trading,mustafa@mustafaalitrd.com,
Sakhi Trading,sakhitrdg@gmail.com,
Wasatal Madinah,wasatalmadinah@gmail.com,
Rehatal Mask,rehatalmask1@gmail.com,
Aldar.H Trdg,aldar.htrdg@gmai.com,
Shjrece Ption,shjreception@aldanube.com,
Shamsal Zahramarine,shamsalzahramarine@gmail.com,
Moiz_Da Mmam,moiz_dammam@yahoo.com,
A.T.Nso Ns,a.t.nsons@outlook.com,
Sales,salesdxb@borderppe.ae,
Tools.T Ools,tools.tools@aol.com,
Prime Impex Gen,primeimpexgen@gmail.com,
North Land Trading,northlandtrading1@gmail.com,
Nooral Hadit,nooralhaditbm@gmail.com,
Madinah Hardware,dmadinahhardware@gmail.com,
Advanced Prism Trading,advancedprismtrading@gmail.com,
Royal Wings Dip,royalwingsdip@gmail.com,
Al Nujoom ,alnujoomdubai@gmail.com,
Laspinas Bmt,laspinasbmt2@gmail.com,
Rashide Ssa,rashidessa@eim.ae,
Standard Hardware,standardhardware@yahoo.com,
Anwar Al Najaf Llc,anwaralnajafllc@gmail.com,
Yazzil Hardware,yazzilhardware@gmail.com,
Al Wesal Door,alwesaldoor@yahoo.com,
Dubai Landmark,dubailandmark@yahoo.com,
Smooths ,smooths@eim.ae,
Smart Choice Bmt,smartchoicebmt@gmail.com,
Target Reign,asghar@targetreign.ae,
Qamar Al Huda Llc,qamaralhuda.llc@gmail.com,
Qammarat,qammarat@eim.ae,
Ramkumar,ramkumar@srr.ae,
Dhanraj ,dhanraj@srr.ae,
Ahmed Mohd Ghanim Bm,ahmedmohdghanimbm@gmail.com,
Nehtbmw ,nehtbmw@gmail.com,
Narsing ,narsing@jogaram.com,
Jogaram ,jogaram@eim.ae,
Jogaram,santhosh@jogaram.com,
Maq Bm,nadeem@alqama.ae,
Maq Bm,maqbm@eim.ae,
Unity Bmt,unitybmt@gmail.com,
Khashim,sales@khashim.com,
Al Rifa Gate,alrifagate@yahoo.com,
Techno Star Bmt,technostarbmt@gmail.com,
Masafi Bmt,masafibmt@gmail.com,
Speedex Tools,juzer@speedextools.com,
Speedex Tools,office1@speedextools.com,
Al Musafa,almusafa786@hotmail.com,
Junaibi Group,junaibigroup@gmail.com,
Junaibi Acc,junaibiacc@gmail.com,
Al Yasmeen Trading,manaf@alyasmeentrading.in,
Al Yasmeen Trading,manafalyasmeen@gmail.com,
Al Yasmeen Trading ,rasheed@alyasmeentrading.in,
Al Yasmeen Trading,rasheedalyasmeen@gmail.com,
Al Yasmeen Trading,firanzir@alyasmeentrading.in,
Al Yasmeen Trading,firanzir@gmail.com,
Al Yasmeen Trading,anees@alyasmeentrading.com,
Laspinas Bmt,laspinasbmt3@gmail.com,
Laspinas Bmt,laspinasbmt4@gmail.com,
Laspinas Building Materials,laspinasbuildingmaterials@gmail.com,
Laspinas Building Materials,laspinas@emirates.net.ae,
Al Qouz Star,dawood@alqouzstaruae.com,
Graphene ,account@grapheneuae.com,
Graphene ,info@grapheneuae.com,
Aquawrl D,aquawrld@eim.ae,
Mid Land Llc,sales@midlandllc.net,
Najmat Al Qamar,najmataq@eim.ae,
Najmat Al Qamar,info@najmatalqamar.com,
Najmat Al Qamar,sales@najmatalqamar.com,
Najmat Al Qamar,accounts@najmatalqamar.com,
Royal Wings Dip,royalwingsdip@gmail.com,
Ma E Barsha,maebarsha@gmail.com,
Al Sad Bmt,alsadbmt@gmail.com,
My Perfume,mgulbadun@myperfume.ae,
Al Fulk,sales.alfulk@gmail.com,
Al Milad Hardware,purchase.dxb@almiladhardware.com,
Al Qamar Al Laamea,alqamarallaamea@gmail.com,
Salsabil,office@salsabil.ae,
Salsabil Bmt,salsabil.bm@gmail.com,
Nm Trading,nmtrdg123@gmail.com,
4 Materials,4materials@gmail.com,
Ams Tools,amstoolsequ53@gmail.com,
Pbmt Llc,aziz@pbmtllc.ae,
Pbmt Llc,pbmtllc@emirates.net.ae,
Smooth Solution Llc,smoothsolutionllc4@gmail.com,
Smooth Solution Llc,smoothsolutionllc@gmail.com,
Smooth Solution Llc,smooths@emirates.net.ae,
Huzefa Shabbir,huzefashabbir@hotmail.com,
Thermal Insulation,trading@thermal.ae,
Thermal Insulation,thermalinsulationuae@gmail.com,
Royal Apex,help@royalapexuae.com,
Royal Apex,royalapexdubai@gmail.com,
Hamad Al Sayah Trading,hamadalsayahtrdg@gmail.com,
Abazar Shelving,info@abazarshelving.com,
Fine Tools,noufal@finetool.ae,
Fine Tools,account@finetool.ae,
Fine Tools,noor@finetool.ae,
Fine Tools,finetools@emirates.ae,
Fine Tools,finetool@eim.ae,
Fine Tools,jebelali@finetool.ae,
T-K Building Materials ,turab.razzaq@t-kbuildingmaterials.com,
New Qamar,newqamar@eim.ae,
,mfazalabbas786@gmail.com,
Al Hutaib,alhutaib@yahoo.com,
Jasi Bmt,info@jasibmt.com,
Al Noon Trading,alnoontrading@gmail.com,
Amafha,info@amafha.com,
Khalis,khalis@eim.ae,
,najrangt@yahoo.com,
,wcon@eim.ae,
Qamar Al Sahra,qamaralsahra@gmail.com,
Qamar Al Sahra,qamaralsahra.llc@gmail.com,
Saadiyat Group,robin@saadiyatgroup.com,
Saadiyat Group,sales@saadiyatgroup.com,
Saadiyat Group,arun@saadiyatgroup.com,
Raha Int,rahaintl@emirates.net.ae,
Raha Int,rahaintl@eim.ae,
Yusuf Dalal,yusufdalal52@gmail.com,
Al Assia Trading,admin@alassiatrading.com,
Ca Grand Llc,info@cagrandllc.com,
Carmel,carmel2@emirates.net.ae,
Golden Way Llc,sales@goldenwayelectricals.com,
Golden Way Llc,goldenwayllc@gmail.com,
Iqraa Trading,sales@iqraatrading.com,
Al Noor ,alnoorbr@emirates.net.ae,
Skylight Hvac,skylighthvac@gmail.com,
Ksk Tradings,purchase@ksktradings.com,
Ksk Tradings,contactksktrading@gmail.com,
Far East Llc,info@fareastllc.com,
Far East Llc,deepak@fareastllc.com,
Tamm,sales@tamm.ae,
Fpp,sagar@fpp.ae,
Oranger,n-soujataly@oranger.fr,
Al Azrar Bmt,sales@alazrarbmt.ae,
Al Azrar Bmt,alazrarbmt@yahoo.com,
Fpp,sales@fpp.ae,
Advancedener Tech,sales@advancedenertech.com,
Gold Dome,golddome@eim.ae,
Westbrook Trading,ganesh@westbrook-trading.com,
Sas Express,jameel@sas-express.com,
Supply Nation,info@supplynation.ae,
Taleba Bmt,talebabmt1008@gmail.com,
Trade Al Dhabi,inquiry@tradealdhabi.com,
Qamar Al Huda Llc,qamaralhuda.llc@gmail.com,
Cagrand Llc,info@cagrandllc.com,
Al Amdar Hardware,sales@alamdarhardware.com,
Al Amdar Hardware,shjsales@alamdarhardware.com,
Al Amdar Hardware,ajmsales@alamdarhardware.com,
Al Amdar Hardware,ajmsepsales@alamdarhardware.com,
Al Nibras,alnibras.sharjah@gmail.com,
Al Imlaq,alimlaq@yahoo.com,
Al Imlaq,sales@alimlaqae.com,
Remal Madinah,remalmadinah@gmail.com,
Att,attsharjah@gmail.com,
Al Safwan Hardware,alsafwanhardware@yahoo.com,
Al Madinah Hardware,almadinahhardware83@gmail.com,
Yazzi Hardware,yazzihardware@gmail.com,
Adam Hardware,adamhardware52@gmail.com,
Al Anwar Hardware,sales1@alanwarhardware.com,
Mohammed Shop,mohdshop5253@gmail.com,
Laila Group,sales.lailagroup@gmail.com,
Zawawi Group,info@zawawigroup.com,
Uhs Oman,info@uhsoman.com,
"Mahesh Trading Company Llc, Oman",sales@maheshtradingoman.com,
"Mahesh Trading Company Llc, Oman",jayeshmtc@hotmail.com,
Hanifa Engineering Est.,sales@hanifaengineering.com,
Buildex Stores,customercare@buildexstores.com,
Dhiya Al Halal Trading Llc,dhiyahilal@omantel.net.om,
Dhiya Al Halal Trading Llc,sales@dhiyahilal.com,
Dhiya Al Halal Trading Llc,dhiyahilal@omantel.net.om,
Euro Art,me@euro-art.co.uk,
Middle East Engineering Soutions,sales@mesmct.com,
Gulf Global Store,gulfglobalstore@gmail.com,
Macoma Group,purchase@macoma.co,
Macoma Group,partners@macoma.co,
Macoma Group,aym@macoma.co,
Macoma Group,retail@macoma.co,
Macoma Group,aym@macoma.co,
Corbel Trading & Contracting,info@corbelqatar.com,+974 5549 9056
Tissco - Industrial Hardware Products,tissco@tissco-qatar.com,+974 5022 4848
Real Tech Building Material,info@rtcqatar.com,+974 3132 3393
Ultimate Hardware Solutions,info@ectratech.com,+974 5581 8496
Aiwa Trading Wll,info@aiwatradingqatar.com,+974 5552 6586
Agb Qatar,agb_r_1@2x.aspx,+974 4415 1256
Fk Tools Doha,websales@fktools.ae,+974 4005 9908
Norplex Trading & Co. Store,info@norplexqatar.com,+974 4436 6228
Classic Tec Trading (Al Attiya Branch),classictec786@gmail.com,+974 4451 0905
Metallic Equipment Co.,info@megroup.ae,+974 4451 3800
Metso Co. W.L.L,info@metsorj.com,+974 4444 6336
Al Bahar Trading & Contracting,info@albahartrading.com,+974 7788 4696
Liberty Trading And Contracting,info@libertyqatar.net,+974 3337 8327
Oman Hardware Co Ltd ( Llc),info@zawawigroup.com, 
Hanifa Engineering Est. (Oman),sales@hanifaengineering.com,+968 24 817847
Rawabi Al Asmah Trading & Services Llc,Rk.rawabi@gmail.com,+968 22 009678
Mahesh Trading Company Llc,jayeshmtc@hotmail.com,+968 24 833903
Ultimate Hardware Solutions ,purchase@macoma.co,+968 7157 2328
