EMAIL,COMPANY_NAME
magmafasteners@yahoo.com,MAGMA FASTENERS
alfakharhardware@gmail.com,AL FAKHAR HARDWARE TRADING
muffi@mustafadubai.com,MUSTAFA BMT
juzersj@gmail.com,ALIFIYA GEN TRADING
fht5253@gmail.com,FAKHREE HARDWARE TRADING
salsabeelhardware@gmail.com,SALSABIL HARDWARE
nbt53@outlook.com,NOOR AL BURHAN TRADING
sonica9098_tp@hotmail.com,SONICA TRADING
focusstarbmt@gmail.com,FOCUS STAR BMT
nafys@hotmail.com,FAREED ABU AL MALEH
alwaseef@eim.ae,AL WASIF BMT
mustafa@histarbmt.com,HI STAR BMT
murtazaqutbi53@gmail.com,AL QUTBI ELECT CO
modi601@eim.ae,AL QUBA BMT
buildwaygt@gmail.com,BUILDWAY BEN TRADING
kotharihardware@eim.ae,KOTHARI HARDWARE BMT
atools@eim.ae,A1 TOOLS TRADING
piplodwala@hotmail.com,PIPLOD WALA HARDWARE
info@majorhw.com,MAJOR HARDWARE CO
dmadinahhardware@gmail.com,DHAWHI AL MADINA
standardhardware@yahoo.com,STANDARD HARDWARE TRADING
alzubaida@hotmail.com,ZUBAIDA HARDWARE
anwaralnajafllc@gmail.com,ANWAR AL NAJAF TRADING
yazihardware@gmail.com,YAZZI HARDWARE TRADING
nehtbmw@gmail.com,NAIROBI HARDWARE
sales@khashim.com,K HASHIM LLC
rajubhaicyclewala@yahoo.com,STANLEY HAND TOOLS
ajmhus5253@gmail.com,HUSAINI AJMER BMT
midlandllc@outlook.com,MIDLAND HARDWARE
sales@hardwareworldtrdg.com,HARDWARE WORLD TRADING
baitalnoor4@gmail.com,BAIT AL NOOR BMT
mosanabm@gmail.com,MOSANA BMT 
info@perfectmiddleeast.com,PERFECT OASIS METALS
sales@hamzafasteners.com,HAMZA FASTENERS
sales@rajbuildingmaterial.com,RAJ BUILDING MATERIAL 
zohair@citygatesbmt.com,CITY GATES BMT
sales@citygatesbmt.com,CITY GATES BMT
alnajahtrading@gmail.com,AL NAJAH TRADING
ajmsales@alamdarhardware.com,ALAMDAR HARDWARE
info@alrammal.com,AL RAMAL
ayaanbuilding904@gmail.com,AYAAN BUILDING 
info@rasanigroup.com,RASANI GROUP
sales@almajdtrading.com,AL MAJD TRADING
albarakabldgmat2020@gmail.com,AL BARAKA BUIDING MATERIAL 
risingstarajman@gmail.com,RISING STAR
alyazraelect.sanitary@gmail.com,AL YAZRA ELECT SANITARY
mohd.riyas@buildlineuae.com,BUILD LINE
alahsanbmt@gmail.com,AL AHSAN
zahidislanbangla@gmail.com,ZAHID ISLAN BANGLA
info@mufaddalraj.com,MUFADDAL RAJ
nargis005@gmail.com,NARGIS
colourpointbk@gmail.com,COLOUR POINT 
hatim@altaherchemicals.com,AL TAHER CHEMICALS 
info@ghayasi.com,GHAYASI
sales.altaher1977@gmail.com,AL TAHER
aldiyafa2016@gmail.com,AL DIYAFA
arismajestic@gmail.com,ARIS MAJESTIC
alsaifhardware@yahoo.com,AL SAIF HARDWARE
jumairahgt9069@yahoo.com,JUMAIRAH GT
admiralhardwaretools@gmail.com,ADMIRAL HARDWARE TOOLS
sales@dubaipolymer.ae,DUBAI POLYMER
taqdeer.bldg1998@gmail.com,TAQDEER
info@naserbmt.com,NASER BMT
altaqwabuilding121@gmail.com,AL TAQWA BUILDING
alhatimitools@gmail.com,AL HATIMI TOOLS 
alsukoon1@gmail.com,AL SUKOON
alzourabtht@gmail.com,AL ZOURA
taj.bms2@gmail.com,TAJ BMS
buildmart18@gmail.com,BUILD MART
burhanibht@gmail.com,BURHANI BHT
qisttools@gmail.com,GIST TOOLS
alajer@hotmil.com,AL AJER
alnoor-1996@hotmail.com,AL NOOR
aljasoor@eim.ae,AL JASOOR
glades@aljessour.com,AL JESSOUR
info@samaalkhan.ae,SAMAAL KHAN
murtadahardwaretr@gmail.com,MURTAZA HARDWARE
fhcollc@yahoo.com,FHCO LLC
myfhcollc@gmail.com,FHCO LLC
fhcoali@yahoo.com,FHCO LLC
purchaser@mqqbm.com,MQQ BM
wahathatta@yahoo.com,WAHAT HATTA
hattagroup@yahoo.com,HATTA GROUP
hatta13@eim.ae,HATTA
safinatalnoor@yahoo.com,SAFINA AL NOOR
fareejalmadinah@gmail.com,FAREEJ AL MADINAH
luluatalmadeena21@gmail.com,LULUA AL MADEENA
mawsilhe@gmail.com,MAWSILHE
mawsilhe@yahoo.com,MAWSILHE
info@ragtr.com,RAG TR
wasatalsahratr@gmail.com,WAST AL SAHRA
daralfaris@yahoo.com,DARAL FARIS
sahilfadhi@gmail.com,SAHIL FADHI
najmatalrolla@gmail.com,NAJMAT AL ROLLA
bahaalkawakeb@gmail.com,BAHA AL KAWAKEB
mustafaazan@yahoo.com,MUSTAFA AZAAN
arabalmadina333@gmail.com,ARAB AL MADINA
sales@talebgroup.biz,TALEB GROUP
alistiqbal@gmail.com,AL ISTIQBAL
amidland@eim.ae,MID LAND LLC
burhanstore@gmail.com,BURHAN STORE
alsanaauae69@gmail.com,AL SANAA
abtshop@albashaieruae.com,AL BASHAIER
bashaier@emirates.net.ae,AL BASHAIER
aljaras@hotmail.com,AL JARAS
wasatalmadinah@gmail.com,WASATAL MADINAH
rehatalmask1@gmail.com,REHATAL MASK
aldar.htrdg@gmai.com,ALDAR.H TRDG
shjreception@aldanube.com,SHJRECE PTION
shamsalzahramarine@gmail.com,SHAMSAL ZAHRAMARINE
moiz_dammam@yahoo.com,MOIZ_DA MMAM
a.t.nsons@outlook.com,A.T.NSO NS
salesdxb@borderppe.ae,SALES
tools.tools@aol.com,TOOLS.T OOLS
northlandtrading1@gmail.com,NORTH LAND TRADING
nooralhaditbm@gmail.com,NOORAL HADIT
advancedprismtrading@gmail.com,ADVANCED PRISM TRADING
royalwingsdip@gmail.com,ROYAL WINGS DIP
alnujoomdubai@gmail.com,AL NUJOOM 
laspinasbmt2@gmail.com,LASPINAS BMT
rashidessa@eim.ae,RASHIDE SSA
yazzilhardware@gmail.com,YAZZIL HARDWARE
alwesaldoor@yahoo.com,AL WESAL DOOR
dubailandmark@yahoo.com,DUBAI LANDMARK
smooths@eim.ae,SMOOTHS 
smartchoicebmt@gmail.com,SMART CHOICE BMT
asghar@targetreign.ae,TARGET REIGN
qamaralhuda.llc@gmail.com,QAMAR AL HUDA LLC
qammarat@eim.ae,QAMMARAT
ramkumar@srr.ae,RAMKUMAR
dhanraj@srr.ae,DHANRAJ 
ahmedmohdghanimbm@gmail.com,AHMED MOHD GHANIM BM
narsing@jogaram.com,NARSING 
jogaram@eim.ae,JOGARAM 
santhosh@jogaram.com,JOGARAM
nadeem@alqama.ae,MAQ BM
maqbm@eim.ae,MAQ BM
unitybmt@gmail.com,UNITY BMT
alrifagate@yahoo.com,AL RIFA GATE
masafibmt@gmail.com,MASAFI BMT
juzer@speedextools.com,SPEEDEX TOOLS
office1@speedextools.com,SPEEDEX TOOLS
almusafa786@hotmail.com,AL MUSAFA
junaibigroup@gmail.com,JUNAIBI GROUP
junaibiacc@gmail.com,JUNAIBI ACC
manaf@alyasmeentrading.in,AL YASMEEN TRADING
manafalyasmeen@gmail.com,AL YASMEEN TRADING
rasheed@alyasmeentrading.in,AL YASMEEN TRADING 
rasheedalyasmeen@gmail.com,AL YASMEEN TRADING
firanzir@alyasmeentrading.in,AL YASMEEN TRADING
firanzir@gmail.com,AL YASMEEN TRADING
anees@alyasmeentrading.com,AL YASMEEN TRADING
laspinasbmt3@gmail.com,LASPINAS BMT
laspinasbmt4@gmail.com,LASPINAS BMT
laspinasbuildingmaterials@gmail.com,LASPINAS BUILDING MATERIALS
laspinas@emirates.net.ae,LASPINAS BUILDING MATERIALS
dawood@alqouzstaruae.com,AL QOUZ STAR
account@grapheneuae.com,GRAPHENE 
info@grapheneuae.com,GRAPHENE 
najmataq@eim.ae,NAJMAT AL QAMAR
info@najmatalqamar.com,NAJMAT AL QAMAR
sales@najmatalqamar.com,NAJMAT AL QAMAR
accounts@najmatalqamar.com,NAJMAT AL QAMAR
maebarsha@gmail.com,MA E BARSHA
mgulbadun@myperfume.ae,MY PERFUME
sales.alfulk@gmail.com,AL FULK
alqamarallaamea@gmail.com,AL QAMAR AL LAAMEA
office@salsabil.ae,SALSABIL
salsabil.bm@gmail.com,SALSABIL BMT
nmtrdg123@gmail.com,NM TRADING
4materials@gmail.com,4 MATERIALS
amstoolsequ53@gmail.com,AMS TOOLS
aziz@pbmtllc.ae,PBMT LLC
smoothsolutionllc4@gmail.com,SMOOTH SOLUTION LLC
smoothsolutionllc@gmail.com,SMOOTH SOLUTION LLC
smooths@emirates.net.ae,SMOOTH SOLUTION LLC
huzefashabbir@hotmail.com,HUZEFA SHABBIR
trading@thermal.ae,THERMAL INSULATION
thermalinsulationuae@gmail.com,THERMAL INSULATION
help@royalapexuae.com,ROYAL APEX
royalapexdubai@gmail.com,ROYAL APEX
hamadalsayahtrdg@gmail.com,HAMAD AL SAYAH TRADING
info@abazarshelving.com,ABAZAR SHELVING
noufal@finetool.ae,FINE TOOLS
noor@finetool.ae,FINE TOOLS
finetools@emirates.ae,FINE TOOLS
finetool@eim.ae,FINE TOOLS
turab.razzaq@t-kbuildingmaterials.com,T-K BUILDING MATERIALS 
info@jasibmt.com,JASI BMT
info@amafha.com,AMAFHA
najrangt@yahoo.com,--
wcon@eim.ae,--
qamaralsahra@gmail.com,QAMAR AL SAHRA
qamaralsahra.llc@gmail.com,QAMAR AL SAHRA
robin@saadiyatgroup.com,SAADIYAT GROUP
sales@saadiyatgroup.com,SAADIYAT GROUP
arun@saadiyatgroup.com,SAADIYAT GROUP
rahaintl@emirates.net.ae,RAHA INT
rahaintl@eim.ae,RAHA INT
yusufdalal52@gmail.com,YUSUF DALAL
admin@alassiatrading.com,AL ASSIA TRADING
info@cagrandllc.com,CA GRAND LLC
carmel2@emirates.net.ae,CARMEL
sales@goldenwayelectricals.com,GOLDEN WAY LLC
goldenwayllc@gmail.com,GOLDEN WAY LLC
sales@iqraatrading.com,IQRAA TRADING
alnoorbr@emirates.net.ae,AL NOOR 
skylighthvac@gmail.com,SKYLIGHT HVAC
purchase@ksktradings.com,KSK TRADINGS
contactksktrading@gmail.com,KSK TRADINGS
info@fareastllc.com,FAR EAST LLC
deepak@fareastllc.com,FAR EAST LLC
sales@tamm.ae,TAMM
sagar@fpp.ae,FPP
n-soujataly@oranger.fr,ORANGER
sales@alazrarbmt.ae,AL AZRAR BMT
alazrarbmt@yahoo.com,AL AZRAR BMT
sales@fpp.ae,FPP
sales@advancedenertech.com,ADVANCEDENER TECH
ganesh@westbrook-trading.com,WESTBROOK TRADING
jameel@sas-express.com,SAS EXPRESS
info@supplynation.ae,SUPPLY NATION
inquiry@tradealdhabi.com,TRADE AL DHABI
sales@alamdarhardware.com,AL AMDAR HARDWARE
�shjsales@alamdarhardware.com,AL AMDAR HARDWARE
ajmsepsales@alamdarhardware.com,AL AMDAR HARDWARE
alnibras.sharjah@gmail.com,AL NIBRAS
alimlaq@yahoo.com,AL IMLAQ
sales@alimlaqae.com,AL IMLAQ
remalmadinah@gmail.com,REMAL MADINAH
attsharjah@gmail.com,ATT
alsafwanhardware@yahoo.com,AL SAFWAN HARDWARE
almadinahhardware83@gmail.com,AL MADINAH HARDWARE
yazzihardware@gmail.com,YAZZI HARDWARE
adamhardware52@gmail.com,ADAM HARDWARE
sales1@alanwarhardware.com,AL ANWAR HARDWARE
mohdshop5253@gmail.com,MOHAMMED SHOP
sales.lailagroup@gmail.com,LAILA GROUP
info@zawawigroup.com,ZAWAWI GROUP
info@uhsoman.com,UHS Oman
sales@maheshtradingoman.com,"Mahesh Trading Company LLC, Oman"
jayeshmtc@hotmail.com,"Mahesh Trading Company LLC, Oman"
sales@hanifaengineering.com,HANIFA ENGINEERING EST.
customercare@buildexstores.com,BUILDEX STORES
dhiyahilal@omantel.net.om,DHIYA AL HALAL TRADING LLC
sales@dhiyahilal.com,DHIYA AL HALAL TRADING LLC
me@euro-art.co.uk,EURO ART
sales@mesmct.com,MIDDLE EAST ENGINEERING SOUTIONS
gulfglobalstore@gmail.com,GULF GLOBAL STORE
purchase@macoma.co,MACOMA GROUP
partners@macoma.co,MACOMA GROUP
aym@macoma.co,MACOMA GROUP
retail@macoma.co,MACOMA GROUP
info@corbelqatar.com,Corbel Trading & Contracting
tissco@tissco-qatar.com,TISSCO - Industrial Hardware Products
info@rtcqatar.com,Real Tech building Material
info@ectratech.com,Ultimate Hardware Solutions
info@aiwatradingqatar.com,AIWA TRADING WLL
agb_r_1@2x.aspx,AGB Qatar
websales@fktools.ae,FK Tools Doha
info@norplexqatar.com,Norplex Trading & Co. Store
classictec786@gmail.com,Classic Tec Trading (Al Attiya Branch)
info@megroup.ae,Metallic Equipment CO.
info@metsorj.com,METSO Co. W.L.L
info@albahartrading.com,Al Bahar Trading & Contracting
info@libertyqatar.net,Liberty Trading and Contracting
Rk.rawabi@gmail.com,Rawabi Al Asmah Trading & Services LLC
sales@shopkees.com, Shopkees
CustomerService@aceuae.com,ACE
onlinesales@speedextools.com,Speedex Tools - DIP Branch
rabtools@gmail.com,Rukn Al Burhan Hardware & Building Materials Shop
alnimadubai@outlook.com,Al Nima Building Materials & Hardware Tools Store
support@thsdubai.com,T H S General Trading LLC
md@kern-deudiam.ae,Kern Deudiam Building Hardware & Tools Trading LLC
info@ladecorllc.com,La Decor L.L.C
jonpinhorn.typedesign@gmail.com,ADMIRAL HARDWARE L.L.C.
customerservice@aceuae.com,ACE UAE
ask@thehardwarestop.com,THE HARDWARE STOP
online@misar.ae,MISAR 
wehc@widex.ae,WIDEX
sales@cochinsteeluae.com,COCHIN STEEL LLC
sales@wellscaffolding.com,WELL CERTIFIED SCAFFOLDING LLC
sales@danitrading.ae,DANI TRADING
omraniya@eim.ae,OM RANIYA 
hardware@eim.ae,HARDWARE
sales@msbmgulf.com,MUFADDAL SHABBIR BUILDING MATERIAL TRADING LLC
murtaza@aqmmgt.com,AQMM GENERAL TRADING LLC
sales@arabianvision.net,ARABIAN VISION
psahoo@emirates.net.ae,SAHOO
sales@suptools.ae,SUP TOOLS 
branch@toolmarttrading.com,TOOL MART TRADING
sales@almiladhardware.com,AL MILAD HARDWARE
betterchoicealquoz@gmail.com,BETTER CHOICE
sales@arcadehardware.com,ARCADE HARDWARE
sales@hadeeddubai.ae,HADEED DUBAI
sales@rajabtradinguae.com,RAJAB TRADING 
info@bdigt.ae,BDIGT
rajesh@vulcanuae.com,VULCAN 
bdm@maqbm.com,AL QAMA 
inquiry@artcllc.com,--
inquiry@alrahat.com,AL RAHAT
sales@safatcotrading.com,SAFATCO TRADING
sales@damamhardware.com,DAMAM HARDWARE
info@emiratesessential.com,EMIRATES ESSENTIAL
info@finetool.ae,FINETOOL 
sales2@fktools.ae,FK TOOLS
qsbmt@eim.ae,QSBMT
info@atninfo.com,ATN INFO
dhmguestservice@emaar.ae,DHM GUEST SERVICE
jesudasabraham7@gmail.com,--
info@safatcotrading.com,SAFATCO TRADING
info@falcontrackers.com,FALCON TRACKERS
sales@deepseadxb.com,DEEP SEA 
info@hmi.group,HMI GROUP
info@aiwa.ae,AIWA
